Date;ipca; dolar ;selic; exportacoes 
01/01/2015;1.24;2.63;0.94;13603.6
01/02/2015;1.22;2.82;0.82;12010.7
01/03/2015;1.32;3.14;1.04;16895.1
01/04/2015;0.71;3.04;0.95;15054.4
01/05/2015;0.74;3.06;0.99;16674.6
01/06/2015;0.79;3.11;1.07;19583.2
01/07/2015;0.62;3.22;1.18;18455.7
01/08/2015;0.22;3.51;1.11;15360.1
01/09/2015;0.54;3.91;1.11;16008.9
01/10/2015;0.82;3.88;1.11;15902.6
01/11/2015;1.01;3.78;1.06;13687.2
01/12/2015;0.96;3.87;1.16;16677.9
01/01/2016;1.27;4.05;1.06;11127.3
01/02/2016;0.9;3.97;1;13272.6
01/03/2016;0.43;3.7;1.16;15884.2
01/04/2016;0.61;3.57;1.06;15270.3
01/05/2016;0.78;3.54;1.11;17471.6
01/06/2016;0.35;3.42;1.16;16622.9
01/07/2016;0.52;3.28;1.11;16223
01/08/2016;0.44;3.21;1.22;16925.4
01/09/2016;0.08;3.26;1.11;15744.2
01/10/2016;0.26;3.19;1.05;13663.1
01/11/2016;0.18;3.34;1.04;16156.5
01/12/2016;0.3;3.35;1.12;15905.9
01/01/2017;0.38;3.2;1.09;14879.9
01/02/2017;0.33;3.1;0.87;15497.8
01/03/2017;0.25;3.13;1.05;20107.3
01/04/2017;0.14;3.14;0.79;17694.7
01/05/2017;0.31;3.21;0.93;19809.9
01/06/2017;-0.23;3.3;0.81;19803.3
01/07/2017;0.24;3.21;0.8;18786.5
01/08/2017;0.19;3.15;0.8;19500.4
01/09/2017;0.16;3.13;0.64;18690.6
01/10/2017;0.42;3.19;0.64;18886
01/11/2017;0.28;3.26;0.57;16715.4
01/12/2017;0.44;3.29;0.54;17628.8
01/01/2018;0.29;3.21;0.58;17062.4
01/02/2018;0.32;3.24;0.47;17441.4
01/03/2018;0.09;3.28;0.53;20273.2
01/04/2018;0.22;3.41;0.52;19730.7
01/05/2018;0.4;3.64;0.52;19343.4
01/06/2018;1.26;3.77;0.52;20131.1
01/07/2018;0.33;3.83;0.54;22545.5
01/08/2018;-0.09;3.93;0.57;21567.8
01/09/2018;0.48;4.12;0.47;19189.5
01/10/2018;0.45;3.76;0.54;21910.7
01/11/2018;-0.21;3.79;0.49;20957.3
01/12/2018;0.15;3.89;0.49;19365.2
01/01/2019;0.32;3.74;0.54;18021.3
01/02/2019;0.43;3.72;0.49;15757.3
01/03/2019;0.75;3.85;0.47;17450.9
01/04/2019;0.57;3.9;0.52;19300.8
01/05/2019;0.13;4;0.54;20619.9
01/06/2019;0.01;3.86;0.47;18427.1
01/07/2019;0.19;3.78;0.57;20166.2
01/08/2019;0.11;4.02;0.5;19746.4
01/09/2019;-0.04;4.12;0.46;20338.5
01/10/2019;0.1;4.09;0.48;19645
01/11/2019;0.51;4.16;0.38;17778.8
01/12/2019;1.15;4.11;0.37;18540.8
01/01/2020;0.21;4.15;0.38;14550.5
01/02/2020;0.25;4.34;0.29;15615.5
01/03/2020;0.07;4.88;0.34;18403.5
01/04/2020;-0.31;5.33;0.28;17646.6
01/05/2020;-0.38;5.64;0.24;17579.9
01/06/2020;0.26;5.2;0.21;17598.3
01/07/2020;0.36;5.28;0.19;19537.6
01/08/2020;0.24;5.46;0.16;17548.4
01/09/2020;0.64;5.4;0.16;18286
01/10/2020;0.86;5.63;0.16;17805.5
01/11/2020;0.89;5.42;0.15;17522.9
01/12/2020;1.35;5.15;0.16;18595.8
01/01/2021;0.25;5.36;0.15;15097.5
01/02/2021;0.86;5.42;0.13;16498.9
01/03/2021;0.93;5.65;0.2;24561
01/04/2021;0.31;5.56;0.21;26182.6
01/05/2021;0.83;5.29;0.27;26406.9
01/06/2021;0.53;5.03;0.31;29262.2
01/07/2021;0.96;5.16;0.36;25747.1
01/08/2021;0.87;5.25;0.43;27401.4
01/09/2021;1.16;5.28;0.44;24588.6
01/10/2021;1.25;5.54;0.49;22843.2
01/11/2021;0.95;5.56;0.59;20712.5
01/12/2021;0.73;5.65;0.77;24662.6
01/01/2022;0.54;5.53;0.73;19967
01/02/2022;1.01;5.2;0.76;23710.8
01/03/2022;1.62;4.97;0.93;29717.9
01/04/2022;1.06;4.76;0.83;29243
01/05/2022;0.47;4.96;1.03;29949.8
01/06/2022;0.67;5.05;1.02;33121.4
01/07/2022;-0.68;5.37;1.03;30164.3
01/08/2022;-0.36;5.14;1.17;31142.4
01/09/2022;-0.29;5.24;1.07;30231.8
01/10/2022;0.59;5.25;1.02;27536
01/11/2022;0.41;5.27;1.02;28363.7
01/12/2022;0.62;5.24;1.12;27053.1
01/01/2023;0.53;5.2;1.12;23024.1
01/02/2023;0.84;5.17;0.92;21254
01/03/2023;0.71;5.21;1.17;33086.4
01/04/2023;0.61;5.02;0.92;28061.9
01/05/2023;0.23;4.98;1.12;32908
01/06/2023;-0.08;4.85;1.07;29869.6
01/07/2023;0.12;4.8;1.07;28501.6
01/08/2023;0.23;4.9;1.14;31355.6
01/09/2023;0.26;4.94;0.97;28912.4
01/10/2023;0.24;5.06;1;29809.3
01/11/2023;0.28;4.9;0.92;28089.7
01/12/2023;0.56;4.9;0.89;28946.5
01/01/2024;0.42;4.91;0.97;26961.9
01/02/2024;0.83;4.96;0.8;23587.7
01/03/2024;0.16;4.98;0.83;27959
01/04/2024;0.38;5.13;0.89;30643.3
01/05/2024;0.46;5.13;0.83;30430.6
01/06/2024;0.21;5.39;0.79;29009.7
01/07/2024;0.38;5.54;0.91;31084.1
01/08/2024;-0.02;5.55;0.87;28893.9
01/09/2024;0.44;5.54;0.84;28678.7
01/10/2024;0.56;5.62;0.93;29478.8
