Data;Dólar;Euro;Iene;Exportações;Importações;SELIC;Balança Comercial
22/02/2024;4.9419;5.3432;0.03284;976.3458692;1554.031403;11.25;-123.8172414
23/02/2024;4.9851;5.3979;0.03312;1066.529888;2020.822375;11.25;-123.8172414
24/02/2024;5.530926667;5.944090588;0.036309176;934.1907155;1169.436734;11.25;-123.8172414
25/02/2024;5.530926667;5.944090588;0.036309176;934.1907155;1169.436734;11.25;-123.8172414
26/02/2024;4.9819;5.4064;0.03305;748.8332772;1060.448561;11.25;-123.8172414
27/02/2024;4.9575;5.3779;0.03295;1210.813222;1079.854453;11.25;-123.8172414
28/02/2024;4.9557;5.369;0.03286;916.9891477;1370.106341;11.25;-123.8172414
29/02/2024;4.9833;5.3939;0.0333;682.2460986;1139.407973;11.25;-123.8172414
01/03/2024;4.9596;5.3747;0.03304;801.691276;717.0514042;11.25;-121.8064516
02/03/2024;5.530926667;5.944090588;0.036309176;934.1907155;1169.436734;11.25;-121.8064516
03/03/2024;5.530926667;5.944090588;0.036309176;934.1907155;1169.436734;11.25;-121.8064516
04/03/2024;4.9475;5.3755;0.03288;649.4607256;589.0592429;11.25;-121.8064516
05/03/2024;4.9488;5.3813;0.033;753.0502238;986.7267502;11.25;-121.8064516
06/03/2024;4.9398;5.3873;0.03307;869.9994134;1919.654336;11.25;-121.8064516
07/03/2024;4.9364;5.3965;0.03332;882.2462048;794.6257168;11.25;-121.8064516
08/03/2024;4.9751;5.4537;0.03384;823.7846934;2116.363767;11.25;-121.8064516
09/03/2024;5.530926667;5.944090588;0.036309176;934.1907155;1169.436734;11.25;-121.8064516
10/03/2024;5.530926667;5.944090588;0.036309176;934.1907155;1169.436734;11.25;-121.8064516
11/03/2024;4.9777;5.4401;0.0339;702.1320422;1073.719595;11.25;-121.8064516
12/03/2024;4.9813;5.4396;0.03373;833.2449185;1093.153564;11.25;-121.8064516
13/03/2024;4.9803;5.4504;0.03371;861.0637432;1145.261079;11.25;-121.8064516
14/03/2024;4.9768;5.4187;0.03359;900.0451138;1593.367009;11.25;-121.8064516
15/03/2024;4.9937;5.4376;0.03349;685.0445573;1174.395313;11.25;-121.8064516
